Publication,Taxon ,Invertebrate,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.Treatment,Technique
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Greenhouse,Fauna manipulation
Araujo et al. 2012,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Semiarid,Woodland,Field study,Litter,Shrub-steppe,Insecticide/litter bag exclusion
Araujo et al. 2012,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Semiarid,Woodland,Field study,Litter,Shrub-steppe,Insecticide/litter bag exclusion
Ashton et al. 2019,Bulbitermernes; Macrotermes; Prohamitermes,Termites,Bioturbator,Decomposers,Malayia,Tropical,Woodland,Field study,Litter,Tropical rainforest,Insecticide
Asplund et al. 2013,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion
Asplund et al. 2013,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion
Asplund et al. 2013,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion
Asplund et al. 2013,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion
Asplund et al. 2013,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion
Asplund et al. 2013,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Norway,Temperate,Woodland,Field study,Litter,Picea forest,Litter bag exclusion
Aubert et al. 2009,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion
Aubert et al. 2009,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion
Aubert et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion
Aubert et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion
Aubert et al. 2009,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion
Aubert et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France,Temperate,Woodland,Field study,Litter,Diverse forest,Litter bag exclusion
Barajas-Guzman and Alvarez-Sanchez 2001,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Mexico,Tropical,Woodland,Field study,Litter,Mature forest,Litter bag exclusion
Barajas-Guzman and Alvarez-Sanchez 2001,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Mexico,Tropical,Woodland,Field study,Litter,Mature forest,Litter bag exclusion
Bastow et al. 2008,Porcellio scaber,Isopod,Detritus shredders,Decomposers,USA,Temperate,Grassland,Field study,Litter,Coastal prairie,Litter bag exclusion
Bernaschini et al. 2014,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Temperate,Woodland,Field study,Litter,Dry subtropical forest,Litter bag exclusion
Blair et al. 1992,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Mixed-hardwood forest,Insecticide
Blair et al. 1992,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Mixed-hardwood forest,Insecticide
Bradford et al. 2007,Orgyia leucostigma,Leaf-chewing Lepidoptera,Leaf chewers,Herbivores,USA,Temperate,Woodland,Mesocosm,Plant leaf,Laboratory,Induced herbivory
Brennan et al. 2009,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Coastal Blackbutt forest,Litter bag exclusion
Buckingham et al. 2015,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Soil,Eucalyptus forest,Insecticide
Bush et al. 2018,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion
Butler et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Eucalyptus forest,Litter bag exclusion
Cardenas et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Cardenas et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Ecuador,Tropical,Woodland,Mesocosm,Litter,Amazonian forest,Litter bag exclusion
Carrias et al. 2020,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Mesocosm,Litter,Lowland rainforest,Litter bag exclusion
Carrias et al. 2020,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Mesocosm,Litter,Lowland rainforest,Litter bag exclusion
Carrillo et al. 2011,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier
Carrillo et al. 2011,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier
Carrillo et al. 2011,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier
Carrillo et al. 2011,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier
Carrillo et al. 2011,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier
Carrillo et al. 2011,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Grassland,Field study,Litter,Old field grassland,Mesh barrier
Castanho et al. 2012,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Restinga forest,Litter bag exclusion
Castanho et al. 2012,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Atlantic rainforest,Litter bag exclusion
Castanho et al. 2012,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Soil,Restinga forest,Litter bag exclusion
Castanho et al. 2012,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Semi-deciduous forest,Litter bag exclusion
Castanho et al. 2012,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Soil,Atlantic rainforest,Litter bag exclusion
Castanho et al. 2012,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Soil,Semi-deciduous forest,Litter bag exclusion
Chapman et al. 2003,Dioryctria albovittella,Leaf-chewing Lepidoptera,Leaf chewers,Herbivores,USA,Temperate,Woodland,Field study,Plant leaf,Semiarid herbivore woodland,Insecticide
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France (Guiana),Tropical,Woodland,Field study,Litter,Natural rainforest,Litter bag exclusion
Coq et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France,Temperate,Grassland,Mesocosm,Plant leaf,Greenhouse,Litter bag exclusion
Coq et al. 2019,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,France,Temperate,Grassland,Field study,Plant leaf,Subalpine grassland,Litter bag exclusion
Cortez and Bouche 1998,Lumbricus and Nicodrilus sp.,Earthworm,Bioturbator,Decomposers,France,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Cortez and Bouche 1998,Lumbricus and Nicodrilus sp.,Earthworm,Bioturbator,Decomposers,France,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Cortez and Bouche 1998,Lumbricus and Nicodrilus sp.,Earthworm,Bioturbator,Decomposers,France,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Cortez and Bouche 1998,Lumbricus and Nicodrilus sp.,Earthworm,Bioturbator,Decomposers,France,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion
Cowie et al. 1992,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Wetland,Field study,Litter,Unmanaged wetland,Litter bag exclusion
Curry and Byrne 1997,Allolobophora and Lumbricus spp.,Earthworm,Bioturbator,Decomposers,Ireland,Temperate,Agriculture,Field study,Soil,Agricultural wheat/barley,Litter bag exclusion
Dominquez et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Temperate,Agriculture,Field study,Litter,No till agriculture,Litter bag exclusion
Dominquez et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Temperate,Agriculture,Field study,Litter,Natural grasslands,Litter bag exclusion
Dominquez et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Temperate,Agriculture,Field study,Litter,Natural grasslands,Litter bag exclusion
Dominquez et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Argentina,Temperate,Agriculture,Field study,Litter,No till agriculture,Litter bag exclusion
Douce and Crossley Jr. 1982,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Arctic,Grassland,Field study,Litter,Tundra trough,Insecticide
Douce and Crossley Jr. 1982,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Arctic,Grassland,Field study,Litter,Tundra rim,Insecticide
Douce and Crossley Jr. 1982,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Arctic,Grassland,Field study,Litter,Tundra basin,Insecticide
Elkins and Whitford 1982,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Semi-arid shrubland,Insecticide
Ewers et al. 2012,Armases cinereum,Decapoda (crab),Hunting predators,Predators,USA,Temperate,Wetland,Field study,Litter,Salt marsh,Fauna manipulation
Ewers et al. 2012,Littoraria irrorata,Gastropoda (snail),Detritus shredders,Decomposers,USA,Temperate,Wetland,Field study,Litter,Salt marsh,Fauna manipulation
Ewers et al. 2012,Littoraria irrorata,Gastropoda (snail),Detritus shredders,Decomposers,USA,Temperate,Wetland,Field study,Litter,Salt marsh,Fauna manipulation
Ewers et al. 2012,Armases cinereum,Decapoda (crab),Hunting predators,Predators,USA,Temperate,Wetland,Field study,Litter,Salt marsh,Fauna manipulation
Fujii et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Soil,Mixed forest 600 m,Litter bag exclusion
Fujii et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Soil,Mixed forest 50 m,Litter bag exclusion
Fujii et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Soil,Mixed forest 400 m,Litter bag exclusion
Fujii et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Soil,Mixed forest 50 m,Litter bag exclusion
Fujii et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Litter,Mixed forest 400 m,Litter bag exclusion
Fujii et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Litter,Mixed forest 50 m,Litter bag exclusion
Fujii et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Litter,Mixed forest 50 m,Litter bag exclusion
Fujii et al. 2017,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Litter,Mixed forest 600 m,Litter bag exclusion
Giebelmann et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion
Giebelmann et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion
Giebelmann et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion
Giebelmann et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion
Giebelmann et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion
Giebelmann et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion
Giebelmann et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion
Giebelmann et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion
Giebelmann et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion
Giebelmann et al. 2011,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Brazil,Tropical,Woodland,Field study,Litter,Mature tropical rainforest,Litter bag exclusion
Hattenschwiler and Gasser 2004,Glomeris sp.,Diplopoda,Detritus shredders,Decomposers,Switzerland,Temperate,Woodland,Field study,Litter,Old-growth mixed forest,Fauna manipulation
Hattenschwiler and Gasser 2004,Aporrectodea longa,Earthworm,Bioturbator,Decomposers,Switzerland,Temperate,Woodland,Field study,Litter,Old-growth mixed forest,Fauna manipulation
