Publication,StudyID,ES.ID,Taxon,Invertebrate.type,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.history,Fauna.manipulation,Mesh.size,Litter,Litter.identity,Units,Duration,SS.experimental,SS.control,Std.dev.experimental,Std.dev.control,Mean.experimental,Mean.control
Hopkins et al. 1990,41,165,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Soil,Mor soil meadow,Litter bag exclusion,1-0.045 mm,Litter,Cellulose,prop. decom,180 d,3,3,3.897114317,17.75352078,100,95.25
Hopkins et al. 1990,41,166,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Soil,Mull soil meadow,Litter bag exclusion,5 -1 mm,Litter,Cellulose,prop. decom,180 d,3,3,5.196152423,3.464101615,8.5,10.75
Hou et al. 2005,42,167,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Taiwan,Tropical,Woodland,Field study,Litter,Lowland rainforest,Insecticide,1.3 mm,Litter,Mixed litter,prop. decom,350 d,12,12,4.631503859,15.30440094,71.469,40.745
Hunter et al. 2002,43,168,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion,15-1.5 mm,Litter,Rhododendron maximum,prop. decom,365 d,3,3,2.009178937,3.04494532,31.164,28.509
Hunter et al. 2002,43,169,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,15-1.5 mm,Litter,Rhododendron maximum,prop. decom,365 d,3,3,2.296699371,3.457173412,20.89,23.385
Hunter et al. 2002,43,170,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,15-1.5 mm,Litter,Quercus prinus,prop. decom,365 d,3,3,4.051266839,12.12781975,29.689,32
Hunter et al. 2002,43,171,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,15-1.5 mm,Litter,Liriodendron tulipifera,prop. decom,365 d,3,3,4.304146257,6.876241706,50.258,44.769
Hunter et al. 2002,43,172,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion,15-1.5 mm,Litter,Liriodendron tulipifera,prop. decom,365 d,3,3,9.166012874,7.449550523,40.673,49.26
Hunter et al. 2002,43,173,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion,15-1.5 mm,Litter,Quercus prinus,prop. decom,365 d,3,3,9.256079516,8.083481119,46.344,36.191
Ibanez et al. 2013,44,174,"Chorthippus scalaris, Euthystira brachyptera",Orthoptera,Leaf chewers,Herbivores,France,Temperate,Grassland,Mesocosm,Plant leaf,Subalpine grassland,Fauna manipulation/litter bag exclusion,1.5-0.068 mm,Litter,Festuca paniculata,prop. decom,181 d,4,4,4.875555556,6.402962963,24.244,32.102
Ibanez et al. 2013,44,175,"Chorthippus scalaris, Euthystira brachyptera",Orthoptera,Leaf chewers,Herbivores,France,Temperate,Grassland,Mesocosm,Plant leaf,Subalpine grassland,Fauna manipulation/litter bag exclusion,1.5-0.068 mm,Litter,Dactylis glomerata,prop. decom,181 d,4,4,6.041481481,10.55111111,33.281,33.183
Ibanez et al. 2013,44,176,"Chorthippus scalaris, Euthystira brachyptera",Orthoptera,Leaf chewers,Herbivores,France,Temperate,Grassland,Mesocosm,Plant leaf,Subalpine grassland,Fauna manipulation/litter bag exclusion,1.5-0.068 mm,Litter,Mixed litter,prop. decom,181 d,4,4,6.767407407,7.422222222,30.4,39.175
Jia et al. 2015,45,177,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Broad-leaf/ coniferous forest,Litter bag exclusion,5 - 0.2 mm,Litter,Quercus acutissima,prop. decom,240 d,4,4,3.56,2.034,36.356,29.247
Jia et al. 2015,45,178,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Broad-leaf/ coniferous forest,Litter bag exclusion,6 - 0.2 mm,Litter,Pinus massoniana,prop. decom,240 d,4,4,5.066,1.512,30.259,24.453
Joo et al. 2006,46,179,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Agriculture,Field study,Litter,Agroforestry ceder plantation,Litter bag exclusion,1 - 0.025 mm,Litter,Cryptomeria japonica,prop. decom,730 d,7,7,4.164412564,4.974012465,52.48,45.588
Koltz et al. 2018,48,180,Lycosidae,Hunting spider,Hunting predators,Predators,USA,Arctic,Woodland,Field study,Litter,Arctic tundra,Fauna manipulation,3 mm,Litter,Eriophorum vaginatum,prop. decom,420 d,5,5,1.699411663,4.782949404,26.016,26.818
Kotilainen et al. 2004,49,181,"Folsomia candida, Lepidocyrtus lignorum",Collembola,Detritus grazers,Decomposers,Finland,Temperate,Woodland,Mesocosm,Soil,Laboratory,Fauna manipulation,NA,Litter,Betula pendula,prop. decom,127 d,10,5,8.23061818,3.535782489,13.2905,11.6445
Kurzatkowski et al. 2004,50,182,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Agriculture,Field study,Litter,Agroforestry Bastris plantation,Litter bag exclusion,1 - 0.02 mm,Litter,Vismia sp.,prop. decom,140 d,3,3,46.41376549,8.881956541,70.615,13.318
Kurzatkowski et al. 2004,50,183,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Agriculture,Field study,Litter,Agroforestry Mixed plantation,Litter bag exclusion,1 - 0.02 mm,Litter,Vismia sp.,prop. decom,140 d,3,3,51.27909621,8.769373239,44.958,11.844
Kurzatkowski et al. 2004,50,184,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Brazil,Tropical,Agriculture,Field study,Litter,Agroforestry Bastris plantation,Litter bag exclusion,1 - 0.02 mm,Litter,Vismia sp.,prop. decom,140 d,3,3,54.556,12.97652465,70.511,14.103
Lamers et al. 2009,51,185,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,10 - 0.25 mm,Litter,Ulmus pumila,prop. decom,367 d,8,8,3.085,7.407,45.002,33.879
Lamers et al. 2009,51,186,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,10 - 0.25 mm,Litter,Elaegnus angustifolia,prop. decom,367 d,8,8,3.889,5,41.114,29.465
Lamers et al. 2009,51,187,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,10 - 0.25 mm,Litter,Ulmus pumila,prop. decom,367 d,8,8,4.266,3.085,59.847,45.002
Lamers et al. 2009,51,188,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,10 - 0.25 mm,Litter,Populus euphratica,prop. decom,367 d,8,8,5.175,5.175,58.957,53.742
Lamers et al. 2009,51,189,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,10 - 0.25 mm,Litter,Populus euphratica,prop. decom,367 d,8,8,5.175,5.175,53.742,50.402
Lamers et al. 2009,51,190,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion,10 - 0.25 mm,Litter,Elaegnus angustifolia,prop. decom,367 d,8,8,12.222,3.889,54.489,41.114
Lawrence and Wise 2004a,52,191,Litter araneae,Hunting spider,Hunting predators,Predators,USA,Temperate,Woodland,Field study,Litter,Oak-Hickory Forest,Fauna manipulation,5 mm,Litter,Mixed litter,prop. decom,540 d,7,7,2.082206282,8.342053884,55.364,44.096
Lawrence and Wise 2004b,53,192,Litter araneae,Hunting spider,Hunting predators,Predators,USA,Temperate,Woodland,Field study,Litter,Oak-Hickory Forest,Fauna manipulation,3 mm,Litter,Straw litter,prop. decom,42 d,7,7,2.500234989,4.839079148,20.798,22.501
Lin et al. 2019,54,193,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Elaeocarpus japonicus,prop. decom,400 d,4,4,0.934,3.272,70.561,62.617
Lin et al. 2019,54,194,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Cinnamomum subavenium,prop. decom,400 d,4,4,3.272,6.074,41.822,37.62
Lin et al. 2019,54,195,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Cyclobalanopsis glauca,prop. decom,400 d,4,4,4.696,3.738,42.057,38.087
Lin et al. 2019,54,196,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Machilus thunbergii,prop. decom,400 d,4,4,5.14,4.206,43.925,38.318
Lin et al. 2019,54,197,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Daphniphyllum oldhamii,prop. decom,400 d,4,4,6.092,1.87,56.075,47.43
Lin et al. 2019,54,198,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Schima superba,prop. decom,400 d,4,4,6.558,7.476,54.673,52.105
Lin et al. 2019,54,199,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Michelia skinnneriana,prop. decom,400 d,4,4,7.476,1.402,69.86,64.954
Lin et al. 2019,54,200,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Rhododendron latoucheae,prop. decom,400 d,4,4,7.944,5.608,58.178,58.182
Lin et al. 2019,54,201,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Rhododendron ovatum,prop. decom,400 d,4,4,9.346,1.402,62.151,59.113
Lin et al. 2019,54,202,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Syzgium buxifolium,prop. decom,400 d,4,4,9.814,3.738,67.991,59.348
Lin et al. 2019,54,203,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Elaeocarpus decipiens,prop. decom,400 d,4,4,10.758,7.024,58.645,45.328
Lin et al. 2019,54,204,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Pieris formosa,prop. decom,400 d,4,4,11.766,5.608,55.374,52.804
Lin et al. 2019,54,205,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Vaccinium carlesii,prop. decom,400 d,4,4,12.23,4.232,64.72,51.402
Lin et al. 2019,54,206,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Eurya muricata,prop. decom,400 d,4,4,12.652,3.768,59.113,50.701
Lin et al. 2019,54,207,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Camellia fraterna,prop. decom,400 d,4,4,14.96,4.232,80.143,66.824
Lin et al. 2019,54,208,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Alniphyllum fortunei,prop. decom,400 d,4,4,16.382,6.074,76.402,61.682
Lin et al. 2019,54,209,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Neolitsea aurata,prop. decom,400 d,4,4,17.296,2.336,50.467,46.498
Lin et al. 2019,54,210,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Cyclobalanopsis myrinaefolia,prop. decom,400 d,4,4,18.23,7.958,63.758,47.664
Lin et al. 2019,54,211,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Castanopsis fargesii,prop. decom,400 d,4,4,21.516,4.206,56.542,46.73
Lin et al. 2019,54,212,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Vaccinium mandarinorum,prop. decom,400 d,4,4,22.916,5.162,64.955,51.407
Lin et al. 2019,54,213,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion,4 - 0.25 mm,Litter,Castanopsis eyrei,prop. decom,400 d,4,4,23.44,5.608,51.402,31.55
Lindsay and French 2004,55,214,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Coastline shubland,Litter bag exclusion,4 - 0.25 mm,Litter,Mixed litter,prop. decom,609 d,4,4,4.16,4.52,100.383,93.431
Lindsay and French 2004,55,215,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Coastline shubland,Litter bag exclusion,4 - 0.25 mm,Litter,Chrysanthemoides monilifera,prop. decom,609 d,4,4,4.896,3.106,64.031,56.505
Liu et al. 2015,56,216,Macrothele yunnanica,Ambush spider,Ambush hunters,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation,2 mm,Litter,Pometia tomentosa,prop. decom,365 d,10,10,5.42014391,8.130215864,36.031,38.357
Liu et al. 2015,56,217,Pardosa laura,Hunting spider,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation,2 mm,Litter,Pometia tomentosa,prop. decom,365 d,10,10,5.464415797,8.130215864,46.29,38.357
Liu et al. 2015,56,218,"Pardosa laura, Macrothele yunnanica",Litter spiders,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation,2 mm,Litter,Pometia tomentosa,prop. decom,365 d,10,10,13.55352205,8.130215864,38.786,38.357
Liu et al. 2016,57,219,Pardosa laura,Ambush spider,Ambush hunters,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation,1 mm,Litter,Pometia tomentosa,prop. decom,360 d,10,10,3.794733192,12.33288287,38.8,36.9
Liu et al. 2016,57,220,"Pardosa laura, Macrothele yunnanica",Litter spiders,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation,1 mm,Litter,Pometia tomentosa,prop. decom,360 d,10,10,11.64350634,13.33288287,37.975,36.9
Liu et al. 2016,57,221,Macrothele yunnanica,Hunting spider,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation,1 mm,Litter,Pometia tomentosa,prop. decom,360 d,10,10,16.12761607,12.33288287,43.5,36.9
Liu et al. 2018,58,222,Pardosa laura,Hunting spider,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation,1 mm,Litter,Phoebe lanceolata,prop. decom,180 d,6,6,2.838958612,13.27623441,30.344,29.519
Liu et al. 2018,58,223,"Pardosa laura, Macrothele yunnanica",Litter spiders,Hunting predators,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation,1 mm,Litter,Phoebe lanceolata,prop. decom,180 d,6,6,4.835292752,13.27623441,30.028,29.519
Liu et al. 2018,58,224,Macrothele yunnanica,Ambush spider,Ambush hunters,Predators,China,Tropical,Woodland,Field study,Litter,Tropical forest,Fauna manipulation,1 mm,Litter,Phoebe lanceolata,prop. decom,180 d,6,6,4.884282547,13.27623441,29.344,29.519
Ma et al. 2019,59,225,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Betula ermanii forest,Litter bag exclusion,2 - 0.01 mm,Litter,Parasenecio komarovianus,prop. decom,730 d,6,6,1.937546387,1.937546387,96.838,89.384
Ma et al. 2019,59,226,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Betula ermanii forest,Litter bag exclusion,2 - 0.01 mm,Litter,Rhododendron aureum,prop. decom,730 d,6,6,2.905094835,2.905094835,67.194,61.68
Ma et al. 2019,59,227,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Alpine tundra,Litter bag exclusion,2 - 0.01 mm,Litter,Dryas octopetala,prop. decom,730 d,6,6,3.992668281,4.935721832,43.88,37.206
Ma et al. 2019,59,228,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous mixed broad-leaf,Litter bag exclusion,2 - 0.01 mm,Litter,Tilia amurensis,prop. decom,730 d,6,6,4.007365219,5.832235078,95.237,83.333
Ma et al. 2019,59,229,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Alpine tundra,Litter bag exclusion,2 - 0.01 mm,Litter,Vaccinium uliginosum,prop. decom,730 d,6,6,4.840191732,4.840191732,20.173,16.205
Ma et al. 2019,59,230,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous mixed broad-leaf,Litter bag exclusion,2 - 0.01 mm,Litter,Fraxinus mandshurica,prop. decom,730 d,6,6,4.935721832,4.935721832,96.048,95.657
Ma et al. 2019,59,231,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Betula ermanii forest,Litter bag exclusion,2 - 0.01 mm,Litter,Betula ermanii,prop. decom,730 d,6,6,5.888573342,3.992668281,86.199,68.816
Ma et al. 2019,59,232,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous forest,Litter bag exclusion,2 - 0.01 mm,Litter,Abies nephrolepis,prop. decom,730 d,6,6,6.442158024,6.442158024,68.62,60.822
Ma et al. 2019,59,233,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous forest,Litter bag exclusion,2 - 0.01 mm,Litter,Picea jezoensis,prop. decom,730 d,6,6,6.694455467,6.694455467,77.249,75.742
Ma et al. 2019,59,234,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous mixed broad-leaf,Litter bag exclusion,2 - 0.01 mm,Litter,Acer mono,prop. decom,730 d,6,6,6.723849344,6.723849344,98.066,97.244
Ma et al. 2019,59,235,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Coniferous mixed broad-leaf,Litter bag exclusion,2 - 0.01 mm,Litter,Pinus koraiensis,prop. decom,730 d,6,6,6.777738118,6.777738118,60.951,60.578
Ma et al. 2019 (a),60,236,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Alpine tundra,Litter bag exclusion,2 - 0.01 mm,Litter,Dryas octopetala,prop. decom,1080 d,4,4,1.614,1.876,47.619,33.29
Mayer 2008,61,237,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Forest-grassland mix,Litter bag exclusion,6.3 - 0.3 mm,Litter,Mixed litter,prop. decom,380 d,6,6,8.102912069,5.675467734,38.796,28.022
McGlynn and Poison 2012,62,238,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Costa Rica,Tropical,Woodland,Field study,Litter,Lowland rainforest,Fauna manipulation,NA,Litter,Mixed litter,prop. decom,60 d,29,20,10.77032961,11.18033989,38.9,23.6
Milcu and Manning 2010,63,239,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion,1 - 0.1 mm,Litter,Raphanus raphanistrum,prop. decom,365 d,4,4,1.532,7.812,56.823,63.627
Milcu and Manning 2010,63,240,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Deciduous forest,Litter bag exclusion,3 - 1 mm,Litter,Quercus rubra,prop. decom,365 d,4,4,2.268,5.044,71.18,48.384
Milcu and Manning 2010,63,241,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion,1 - 0.1 mm,Litter,Quercus rubra,prop. decom,365 d,4,4,3.778,3.034,35.901,33.778
Milcu and Manning 2010,63,242,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion,1 - 0.1 mm,Litter,Quercus rubra,prop. decom,365 d,4,4,4.03,2.28,31.621,32.135
Milcu and Manning 2010,63,243,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion,3 - 1 mm,Litter,Raphanus raphanistrum,prop. decom,365 d,4,4,4.54,7.56,65.26,68.659
Milcu and Manning 2010,63,244,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Deciduous forest,Litter bag exclusion,1 - 0.1 mm,Litter,Quercus rubra,prop. decom,365 d,4,4,5.044,5.842,48.384,41.809
Milcu and Manning 2010,63,245,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion,1 - 0.1 mm,Litter,Raphanus raphanistrum,prop. decom,365 d,4,4,5.094,7.25,50.021,58.194
Milcu and Manning 2010,63,246,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion,3 - 1 mm,Litter,Quercus rubra,prop. decom,365 d,4,4,6.302,4.03,46.475,31.621
Milcu and Manning 2010,63,247,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Deciduous forest,Litter bag exclusion,1 - 0.1 mm,Litter,Dactylis glomerata,prop. decom,365 d,4,4,7.052,7.812,41.444,43.714
Milcu and Manning 2010,63,248,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion,1 - 0.1 mm,Litter,Dactylis glomerata,prop. decom,365 d,4,4,7.094,8.568,46.868,50.655
Milcu and Manning 2010,63,249,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion,3 - 1 mm,Litter,Raphanus raphanistrum,prop. decom,365 d,4,4,7.374,1.532,76.222,56.823
Milcu and Manning 2010,63,250,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Deciduous forest,Litter bag exclusion,1 - 0.1 mm,Litter,Raphanus raphanistrum,prop. decom,365 d,4,4,7.56,9.082,68.659,50.27
Milcu and Manning 2010,63,251,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion,1 - 0.1 mm,Litter,Dactylis glomerata,prop. decom,365 d,4,4,8.316,9.072,59.965,55.058
Milcu and Manning 2010,63,252,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Deciduous forest,Litter bag exclusion,3 - 1 mm,Litter,Dactylis glomerata,prop. decom,365 d,4,4,8.83,7.052,44.986,41.444
Milcu and Manning 2010,63,253,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion,3 - 1 mm,Litter,Quercus rubra,prop. decom,365 d,4,4,9.826,3.778,61.862,35.901
Milcu and Manning 2010,63,254,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion,3 - 1 mm,Litter,Raphanus raphanistrum,prop. decom,365 d,4,4,10.328,5.094,68.161,50.021
Milcu and Manning 2010,63,255,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Early succesional grassland,Litter bag exclusion,3 - 1 mm,Litter,Dactylis glomerata,prop. decom,365 d,4,4,11.346,7.094,56.447,46.868
Milcu and Manning 2010,63,256,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,England,Temperate,Grassland,Field study,Litter,Mature grassland,Litter bag exclusion,3 - 1 mm,Litter,Dactylis glomerata,prop. decom,365 d,4,4,12.346,8.316,63.119,59.965
Milton and Kaspari 2007,64,257,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Panama,Tropical,Woodland,Field study,Litter,Old growth rainforest,Litter bag exclusion,12 - 1.5 mm,Litter,Cellulose,prop. decom,56 d,10,10,5.692099788,9.170605214,98.5,96.1
Milton and Kaspari 2007,64,258,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Panama,Tropical,Woodland,Field study,Litter,Old growth rainforest,Litter bag exclusion,1.5 - 0.1 mm,Litter,Cellulose,prop. decom,56 d,10,10,9.170605214,8.221921916,96.1,92.7
Ossola et al. 2016,65,259,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Eucalyptus remnants forest,Litter bag exclusion,6 - 0.2 mm,Litter,Eucalyptus,prop. decom,380 d,10,10,7.241615842,3.684053474,82.104,55.661
Ossola et al. 2016,65,260,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Litter,Eucalyptus remnants forest,Litter bag exclusion,6 - 0.2 mm,Straw,Pea straw,prop. decom,380 d,10,10,13.50608789,2.694260566,70.17,51.574
